Code,Station_type,"BSP5",N_NH4+,N_total,O_2,P_total
V063DA,R3,1.36,0.025,3.5,9.5,0.032
V068,R6,1.19,0.022,1.08,9.9,0.036
V081DA,R4,1.21,0.024,2.17,10.4,0.035
V070,R4,1.45,0.021,1.24,10.7,0.041
V133,R2,1.35,0.097,1.27,10.3,0.039
V143,R2,1.3,0.102,1.59,9.08,0.047
V144MV,R4,2.4,0.481,2.16,5.94,0.16
V071,R3,1.39,0.044,1.08,10.6,0.05
V079,R1,1.28,0.022,0.83,11.0,0.048
V072,R4,1.31,0.017,1.03,10.3,0.031
V044,R3,1.48,0.014,1.29,11.7,0.031
V075,R4,0.91,0.005,0.93,10.9,0.029
V023DA,R4,0.91,0.036,1.43,11.3,0.049
V089SPD A,R4,1.29,0.037,2.1,10.4,0.043
V013SP,R6,1.22,0.053,1.78,10.2,0.056
V138,R1,1.86,0.051,2.36,10.5,0.077
V069DA,R6,1.48,0.039,1.26,9.6,0.047
V018,R3,1.32,0.037,1.42,10.3,0.077
V078,R4,1.58,0.057,1.19,7.025,0.04
V025DA,R4,1.14,0.064,1.91,9.2,0.042
V007DA,R4,1.34,0.034,2.41,9.8,0.057
V056,R6,1.03,0.043,4.63,11.3,0.056
V056,R6,1.05,0.022,3.92,10.5,0.048
V027,R7,1.06,0.025,3.22,10.9,0.037
